"model","parameter","estimate","std_error"
"hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_BASE_VELOCITY",-0.470401121397997,0.384916015482305
"hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_GCS_NEUROTRAX",0.172137229037217,0.856859326398789
"hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_log_TMT_B",-0.451617791927075,0.743843763072067
"hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_GDS",0.993445111111877,0.588794840302425
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","Intercept",-0.0695535363887023,0.656115827804965
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_AGE",-0.676286274437762,0.678030050224469
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_GENDER",-0.590500629412159,0.948558909565972
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_DGI",-0.240566733763218,0.73722990827294
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_TUG",0.608227186306064,0.939379051337395
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_FSST",0.933812022856884,0.982733429036812
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_BASE_VELOCITY",-0.541193324544359,0.375236888459964
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_GCS_NEUROTRAX",-0.326439060840717,1.09166795876677
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_log_TMT_B",-0.296102286858599,0.725783884923404
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_GDS",0.919700521602005,0.63342374071424
"hierarchical-GENDER-c-SPEED_DEPRESSION","Intercept",-0.23367069551983,0.514621391631527
"hierarchical-GENDER-c-SPEED_DEPRESSION","z_BASE_VELOCITY",-0.750960700504929,0.77051002205823
"hierarchical-GENDER-c-SPEED_DEPRESSION","z_GDS",0.762510232592835,0.834654948871158
"hierarchical-AGE_GROUP-c-SPEED","Intercept",-0.194878292667464,0.481564101625357
"hierarchical-AGE_GROUP-c-SPEED","z_BASE_VELOCITY",-0.924758929855594,0.380345024390165
"hierarchical-AGE_GROUP-spline-c-COGNITIVE","Intercept",-0.232145070164568,0.485267778811993
"hierarchical-AGE_GROUP-spline-c-COGNITIVE","sz_GCS_NEUROTRAX_1",0.264090055208625,4.22035072806131
"hierarchical-AGE_GROUP-spline-c-COGNITIVE","sz_log_TMT_B_1",-0.850979210428264,3.46121516479159
